price,floor_area,beds,baths,property_type,floor_area_unit,price_sq_mt
495000.0,279.0,4.0,5.0,Detached,m²,1774.0
2250000.0,200.0,3.0,2.0,Detached,m²,11250.0
499950.0,304.0,4.0,3.0,Detached,m²,1645.0
395000.0,372.0,5.0,8.0,Detached,m²,1062.0
348000.0,110.0,3.0,3.0,Detached,m²,3164.0
550000.0,73.0,2.0,2.0,Apartment,m²,7534.0
300000.0,124.0,4.0,3.0,Detached,m²,2419.0
885000.0,253.0,6.0,5.0,Detached,m²,3498.0
795000.0,150.0,4.0,3.0,Detached,m²,5300.0
195000.0,160.0,5.0,2.0,Detached,m²,1219.0
275000.0,42.0,1.0,1.0,Apartment,m²,6548.0
750000.0,160.0,4.0,3.0,Detached,m²,4688.0
530000.0,251.0,4.0,4.0,Detached,m²,2112.0
250000.0,72.0,2.0,1.0,Apartment,m²,3472.0
225000.0,60.0,2.0,1.0,Apartment,m²,3750.0
235000.0,80.0,3.0,2.0,Semi-D,m²,2938.0
330000.0,111.0,3.0,3.0,Semi-D,m²,2973.0
340000.0,340.0,5.0,2.0,Detached,m²,1000.0
300000.0,147.0,4.0,2.0,Detached,m²,2041.0
975000.0,170.0,4.0,3.0,Detached,m²,5735.0
195000.0,111.0,3.0,2.0,Detached,m²,1757.0
565000.0,294.0,6.0,6.0,Detached,m²,1922.0
275000.0,169.0,5.0,2.0,Detached,m²,1627.0
125000.0,60.0,2.0,1.0,Apartment,m²,2083.0
495000.0,335.0,5.0,3.0,Apartment,m²,1478.0
150000.0,56.0,1.0,1.0,Apartment,m²,2679.0
500000.0,133.0,4.0,5.0,Detached,m²,3759.0
375000.0,32.0,1.0,1.0,Apartment,m²,11719.0
875000.0,148.0,4.0,2.0,Semi-D,m²,5912.0
480000.0,102.0,3.0,2.0,Semi-D,m²,4706.0
800000.0,178.0,5.0,4.0,Semi-D,m²,4494.0
475000.0,126.0,3.0,2.0,Semi-D,m²,3770.0
375000.0,69.0,2.0,1.0,Apartment,m²,5435.0
845000.0,143.0,4.0,3.0,Detached,m²,5909.0
275000.0,120.0,4.0,1.0,Detached,m²,2292.0
320000.0,89.0,2.0,2.0,Apartment,m²,3596.0
120000.0,59.0,3.0,1.0,Detached,m²,2034.0
180000.0,115.0,4.0,1.0,Detached,m²,1565.0
795000.0,158.0,4.0,3.0,Semi-D,m²,5032.0
275000.0,53.0,2.0,1.0,Apartment,m²,5189.0
525000.0,137.0,5.0,3.0,Semi-D,m²,3832.0
695000.0,127.0,3.0,2.0,Semi-D,m²,5472.0
85000.0,104.0,3.0,1.0,Semi-D,m²,817.0
300000.0,50.0,2.0,1.0,Apartment,m²,6000.0
189000.0,47.0,2.0,1.0,Detached,m²,4021.0
396000.0,77.0,2.0,1.0,Apartment,m²,5143.0
150000.0,77.0,2.0,2.0,Apartment,m²,1948.0
179000.0,107.0,4.0,2.0,Semi-D,m²,1673.0
235000.0,120.0,4.0,2.0,Semi-D,m²,1958.0
650000.0,195.0,6.0,4.0,Detached,m²,3333.0
320000.0,70.0,2.0,1.0,Apartment,m²,4571.0
310000.0,155.0,4.0,2.0,Semi-D,m²,2000.0
545000.0,212.0,4.0,4.0,Detached,m²,2571.0
479000.0,176.0,5.0,4.0,Detached,m²,2722.0
699000.0,442.0,4.0,4.0,Detached,m²,1581.0
1400000.0,198.0,4.0,3.0,Detached,m²,7071.0
230000.0,74.0,2.0,2.0,Apartment,m²,3108.0
375000.0,126.0,3.0,2.0,Detached,m²,2976.0
275000.0,104.0,3.0,2.0,Semi-D,m²,2644.0
150000.0,85.0,3.0,1.0,Detached,m²,1765.0
795000.0,320.0,3.0,4.0,Detached,m²,2484.0
525000.0,140.0,4.0,3.0,Detached,m²,3750.0
495000.0,105.0,4.0,1.0,Detached,m²,4714.0
995000.0,409.0,5.0,3.0,Detached,m²,2433.0
950000.0,149.0,4.0,3.0,Detached,m²,6376.0
950000.0,142.0,5.0,2.0,Detached,m²,6690.0
150000.0,45.0,1.0,1.0,Apartment,m²,3333.0
240000.0,124.0,4.0,2.0,Semi-D,m²,1935.0
699000.0,442.0,4.0,4.0,Detached,m²,1581.0
135000.0,68.0,2.0,1.0,Apartment,m²,1985.0
325000.0,104.0,4.0,3.0,Semi-D,m²,3125.0
435000.0,90.0,3.0,1.0,Semi-D,m²,4833.0
199500.0,102.0,3.0,2.0,Semi-D,m²,1956.0
260000.0,130.0,4.0,2.0,Semi-D,m²,2000.0
520000.0,157.0,5.0,3.0,Semi-D,m²,3312.0
379000.0,108.0,3.0,3.0,Semi-D,m²,3509.0
195000.0,107.0,3.0,2.0,Semi-D,m²,1822.0
295000.0,138.0,4.0,2.0,Detached,m²,2138.0
230000.0,112.0,4.0,3.0,Semi-D,m²,2054.0
325000.0,115.0,3.0,3.0,Semi-D,m²,2826.0
749000.0,148.0,4.0,3.0,Semi-D,m²,5061.0
650000.0,198.0,4.0,3.0,Detached,m²,3283.0
995000.0,189.0,4.0,3.0,Detached,m²,5265.0
298000.0,130.0,4.0,1.0,Semi-D,m²,2292.0
395000.0,159.0,4.0,3.0,Detached,m²,2484.0
350000.0,152.0,4.0,2.0,Detached,m²,2303.0
435000.0,109.0,3.0,2.0,Semi-D,m²,3991.0
775000.0,143.0,6.0,5.0,Detached,m²,5420.0
195000.0,70.0,2.0,2.0,Apartment,m²,2786.0
135000.0,92.0,3.0,2.0,Semi-D,m²,1467.0
269000.0,75.0,2.0,2.0,Apartment,m²,3587.0
550000.0,116.0,3.0,1.0,Detached,m²,4741.0
395000.0,101.0,3.0,3.0,Semi-D,m²,3911.0
249950.0,73.0,2.0,2.0,Apartment,m²,3424.0
405000.0,178.0,5.0,3.0,Detached,m²,2275.0
275000.0,131.0,4.0,2.0,Detached,m²,2099.0
175000.0,63.0,2.0,2.0,Apartment,m²,2778.0
365000.0,98.0,3.0,3.0,Semi-D,m²,3724.0
180000.0,59.0,2.0,1.0,Detached,m²,3051.0
795000.0,146.0,4.0,3.0,Semi-D,m²,5445.0
299500.0,166.0,4.0,4.0,Detached,m²,1804.0
485000.0,196.0,4.0,3.0,Detached,m²,2474.0
165000.0,125.0,4.0,2.0,Detached,m²,1320.0
285000.0,113.0,4.0,2.0,Semi-D,m²,2522.0
595000.0,278.0,4.0,4.0,Detached,m²,2140.0
