month,country,residential_price_index,perc_change_prev,perc_change_yoy
2006-01-01,NL,84.2,1.2,2.3
2006-01-01,NO,70.2,0.3,2.9
2006-01-01,PL,87.8,-0.1,1.5
2006-01-01,PT,84.6,-0.2,2.7
2006-02-01,AT,77.9,0.0,1.8
2006-02-01,ES,83.4,0.5,4.4
2006-02-01,FI,82.2,0.2,3.0
2006-02-01,IE,111.8,0.8,8.1
2006-02-01,LT,77.9,0.3,9.4
2006-02-01,NL,84.4,0.2,2.2
2006-02-01,NO,70.4,0.3,3.1
2006-02-01,PL,88.0,0.2,1.6
2006-02-01,PT,84.9,0.4,2.7
2006-03-01,AT,78.3,0.5,2.4
2006-03-01,ES,84.1,0.8,5.4
2006-03-01,FI,82.4,0.2,2.9
2006-03-01,IE,112.9,1.0,9.1
2006-03-01,LT,78.3,0.5,10.4
2006-03-01,NL,84.4,0.0,2.2
2006-03-01,NO,70.6,0.3,2.9
2006-03-01,PL,88.1,0.1,1.5
2006-03-01,PT,85.5,0.7,3.3
2006-04-01,AT,78.8,0.6,3.0
2006-04-01,ES,84.7,0.7,6.1
2006-04-01,FI,82.8,0.5,2.6
2006-04-01,IE,114.5,1.4,10.0
2006-04-01,LT,80.1,2.3,11.6
2006-04-01,NL,84.8,0.5,2.5
2006-04-01,NO,70.8,0.3,3.1
2006-04-01,PL,88.1,0.0,1.3
2006-04-01,PT,87.3,2.1,4.1
2006-05-01,AT,80.1,1.6,4.2
2006-05-01,ES,85.7,1.2,7.3
2006-05-01,FI,83.1,0.4,2.8
2006-05-01,IE,115.7,1.0,10.2
2006-05-01,LT,80.5,0.5,11.0
2006-05-01,NL,84.9,0.1,2.8
2006-05-01,NO,71.1,0.4,3.2
2006-05-01,PL,88.4,0.3,1.5
2006-05-01,PT,87.5,0.2,4.3
2006-06-01,AT,80.5,0.5,5.2
2006-06-01,ES,86.0,0.4,7.5
2006-06-01,FI,83.8,0.8,3.7
2006-06-01,IE,116.7,0.9,10.7
2006-06-01,LT,81.7,1.5,10.9
2006-06-01,NL,85.1,0.2,3.0
2006-06-01,NO,71.3,0.3,3.5
2006-06-01,PL,88.5,0.1,1.4
2006-06-01,PT,87.4,-0.1,4.4
2006-07-01,AT,81.1,0.7,6.0
2006-07-01,ES,86.3,0.3,7.9
2006-07-01,FI,84.2,0.5,4.0
2006-07-01,IE,118.2,1.3,11.0
2006-07-01,LT,82.8,1.3,10.7
2006-07-01,NL,86.0,1.1,3.9
2006-07-01,NO,71.5,0.3,3.6
2006-07-01,PL,88.7,0.2,1.5
2006-07-01,PT,87.7,0.3,3.8
2006-08-01,AT,81.3,0.2,6.3
2006-08-01,ES,86.6,0.3,8.3
2006-08-01,FI,84.3,0.1,3.9
2006-08-01,IE,119.4,1.0,12.0
2006-08-01,LT,83.2,0.5,10.9
2006-08-01,NL,86.1,0.1,3.9
2006-08-01,NO,71.8,0.4,3.8
2006-08-01,PL,89.0,0.3,1.6
2006-08-01,PT,87.6,-0.1,3.2
2006-09-01,AT,81.5,0.2,6.4
2006-09-01,ES,86.8,0.2,8.1
2006-09-01,FI,84.5,0.2,4.1
2006-09-01,IE,119.9,0.4,11.8
2006-09-01,LT,84.6,1.7,11.2
2006-09-01,NL,86.1,0.0,3.6
2006-09-01,NO,71.8,0.0,3.6
2006-09-01,PL,89.3,0.3,1.7
2006-09-01,PT,87.3,-0.3,2.9
2006-10-01,AT,81.5,0.0,6.0
2006-10-01,ES,87.1,0.3,8.3
